Report No.,Code,Incident Type,Title,Date,Location,Barangay,Municipality,Province,Latitude,Longitude,Description,Weapons,Actors,Actor Categories,Unspecified,Pistol,Revolver,Assault Rifle,Rifle,Shotgun,SMG,LMG,HMG,GL,AGL,RPG/ATW,Mortar,ATGM,MANPADS,Hand Grenade,Projected Gren,Rifle Gren,Munition,Ammo,Craft handgun,Craft Rifle,Craft Shotgun,Craft SMG,Craft RPG,Tags,Convergence,Arms Score,Source
5,PHL.26.03.29.002,Surrender/amnesty,"Three Firearms Surrendered to Troops in Lugus and Panamao, Sulu",29 March 2026,"Barangay Bas Lugus, Lugus; Barangays Tayungan and Kansipat, Panamao, Sulu","Barangay Bas Lugus, Lugus; Barangays Tayungan and Kansipat, Panamao, Sulu",,Sulu,5.70090553295348,120.813829081232,"Residents surrendered three firearms in two Sulu municipalities on 29 March 2026. In Barangay Bas Lugus, Lugus, troops received one Colt MK IV caliber .45 pistol with the support of Barangay Chairperson Nursalima A. Asaali. In Panamao, troops received two M1 Garand rifles through community engagements with community leaders in Barangay Tayungan and Barangay Kansipat.","- 1 Colt MK IV caliber .45 pistol
- 2 M1 Garand rifles","Civilian Community (residents of Bas Lugus, Lugus; Tayungan and Kansipat, Panamao)
Military (104th Infantry Battalion [Lugus]; 21st Infantry Battalion [Panamao]; 1102nd Infantry Brigade, 11th Infantry Division/JTF Orion)
Police (Panamao MPS)
Civilian Official(s) (Barangay Chairperson Nursalima A. Asaali, Bas Lugus; Barangay Chairperson Johnson S. Jamiul, Tayungan; Barangay Chairperson Hja. Imelda T. Idris, Kansipat)","Civilian, Military, Police",,1,,,2,,,,,,,,,,,,,,,,,,,,,Gun ban,,7,https://www.facebook.com/permalink.php?story_fbid=pfbid02huEqLoiGLWuLyXgnSDxJK2bkoWHJfm97uCcMTxDZqhfUEWAh8VZHxnPHyqeGCLg3l&id=61557710281207
5,PHL.26.03.29.003,Illicit use/possession,Grenade Attack Over Wage Dispute Wounds Child in Cagayan de Oro City,29 March 2026,"Sitio KM8, Barangay Lumbia, Cagayan de Oro City","Sitio KM8, Barangay Lumbia",Cagayan de Oro City,Misamis Oriental,8.39736262227722,124.596722753592,"Two suspects — Arnold Bacarro, 20, a laborer, and his uncle Noel Bacarro — attacked the home of construction foreman Allan Albecio/Abecio with a shotgun and a grenade in Sitio KM8, Barangay Lumbia, Cagayan de Oro City on 29 March 2026. The suspects initially arrived demanding contact information for a contractor who allegedly failed to pay Arnold's wages; when the foreman could not provide it, Noel Bacarro allegedly fired a shotgun, forcing Albecio to take cover. The suspects left, then returned approximately 30 minutes later and lobbed a grenade into the compound, which detonated and wounded an eight-year-old boy in the leg/foot. The child was transported to Northern Mindanao Medical Center. The suspects fled by motorcycle; a manhunt was launched. Noel Bacarro is the subject of an existing arrest warrant.","- 1 shotgun (fired)
- 1 hand grenade (detonated)","Criminal Individual(s) (Arnold Bacarro/Pat; Noel Bacarro/Pat)
Civilian Community (child victim; foreman Allan Albecio/Abecio)
Police (Cagayan de Oro City Police Office, Police Station 8, Lumbia)","Civilian, Criminal Individual, Police",,,,,,1,,,,,,,,,,1,,,,,,,,,,Interpersonal dispute,,7,https://tribune.net.ph/2026/03/29/grenade-attack-hurts-child-damages-taxi
5,PHL.26.03.29.004,Diversion,CPP-NPA Claims to have Captured 16 Firearms Since March 2025 ,30 March 2026,Nationwide,,,Nationwide,10.6385105794269,123.180650624848,"The CPP Central Committee issued a statement claiming that its military arm, the New People’s Army (NPA), captured 16 firearms across 56 military actions since March 2025. The statement was issued on the NPA’s 57th anniversary. No details were provided about the weapons claimed captured.",- 16 unspecified firearms,NSAG (CPP-NPA),NSAG,16,,,,,,,,,,,,,,,,,,,,,,,,,Insurgency,,16,https://tribune.net.ph/2026/03/30/cpp-cites-npa-gains-setbacks-under-marcos-administration 
6,PHL.26.03.29.005,Seizure,Authorities Recover NPA Arms Cache with Grenades and Explosives in Cagayan,29 March 2026,"Barangay Minanga, Rizal, Cagayan",Barangay Minanga,Rizal,Cagayan,17.8352641415984,121.466263502855,"Police and Philippine Army personnel recovered an NPA arms cache in Barangay Minanga, Rizal, Cagayan on 29 March 2026, acting on intelligence provided by a former member. Recovered items included one caliber .45 pistol with one magazine, one caliber .38 revolver, one fragmentation hand grenade, three rifle grenades, five magazines for 5.56mm rifles, 119 rounds of assorted ammunition, one improvised explosive device (IED), and associated IED paraphernalia. Additional materials included commercial time fuse, detonating cord, commercial dynamite, blasting caps, an electric cap with leg wire, diesel fuel, and personal belongings.

The operation was led by the 1st Cagayan Provincial Mobile Force Company (1st CPMFC), with tactical support from the 11th Special Action Battalion (11SAB) of the SAF, other PNP units, and the Philippine Army. Recovered explosives were turned over to the Cagayan Provincial Explosive and Canine Unit (PECU), while other items were placed in Rizal Municipal Police Station custody.","- 1 caliber .45 pistol
- 1 caliber .38 revolver
- 1 Mk2 hand grenade
- 3 M76 rifle grenades
- 119 rounds of ammunition
- 1 IED and associated components
- commercial explosives and detonators","NSAG (CPP-NPA)
Police (1st Cagayan Provincial Mobile Force Company; 11th Special Action Battalion, SAF; Rizal Municipal Police Station; Cagayan Provincial Explosive and Canine Unit)
Military (Philippine Army)","Military, NSAG, Police",,1,1,,,,,,,,,,,,,1,,3,1,119,,,,,,Insurgency,,24.19,https://www.facebook.com/pnp.pio/posts/pfbid0M6gydbn42FNFPzY1vZfM8HPw9rRYoZJnMgUSDjPivrpYitjzDh2c65D4SpSoskq3l
5,PHL.26.03.30.001,Surrender/amnesty,Tapul Residents Surrender M1 Garand and M203 Grenade Launcher in Sulu,30 March 2026,"Barangays Kaumaungi and Pagatpat, Tapul, Sulu",Barangays Kaumaungi and Pagatpat,Tapul,Sulu,5.74241320929048,120.887437766238,"Civilians in Tapul, Sulu surrendered one M1 Garand rifle, six rounds of ammunition, and one 40mm M203 grenade launcher in Barangays Kaumaungi and Pagatpat, Tapul, Sulu on 30 March 2026. The handover was facilitated by the 104th Infantry Battalion and municipal police. The firearms were formally presented by Barangay Chairman Nurhana D. Undog (Kaumaungi) and Barangay Chairman Abdulhamid A. Muhajil (Pagatpat).","- 1 M1 Garand rifle
- 6 rounds of ammunition
- 1 M203 grenade launcher","Civilian Community (residents of Barangays Kaumaungi and Pagatpat, Tapul)
Military (104th Infantry Battalion; 1102nd Infantry Brigade, 11th Infantry Division/JTF Orion)
Police (Tapul Municipal Police Station)
Civilian Official(s) (Barangay Chairmen Nurhana D. Undog and Abdulhamid A. Muhajil)","Civilian, Military, Police",,,,,1,,,,,1,,,,,,,,,,6,,,,,,Gun ban,,13.06,https://www.facebook.com/permalink.php?story_fbid=pfbid05Pz2NuZjUJJRVmL27feJAMbxqxTHmvBYcoZCGApfbsZJYpqEJBfBXurNRSAeMJerl&id=61557710281207
5,PHL.26.03.30.002,Seizure,Police Seize Pistol from Suspect Following Disturbance in Cavite,30 March 2026,"Barangay Tejeros Convention, Rosario, Cavite",Barangay Tejeros Convention,Rosario,Cavite,14.4065961902701,120.858399894192,"Police seized a pistol with 11 rounds of ammunition when they arrested a 40-year-old male suspect in Barangay Tejeros Convention, Rosario, Cavite on 30 March 2026. The incident took place after police received a distress call about a man threatening another person with a firearm. The suspect failed to present any license to own or possess the firearm.","- 1 pistol (caliber not specified)
- 1 magazine
- 11 rounds of ammunition","Criminal Individual(s) (40-year-old male, illegal firearm possessor)
Police (Rosario Municipal Police Station, Cavite)","Criminal Individual, Police",,1,,,,,,,,,,,,,,,,,,11,,,,,,"Crime, Interpersonal dispute",,1.11,https://www.facebook.com/pnp.pio/posts/pfbid022KXuQXRq5dpXYqzh1EqCgGniyDhCr5Fu8pbDRm267B1d2umomY7z1S95YhGZeuaEl
5,PHL.26.03.30.003,Seizure,"Basag-Kotse Gang Arrested with .38 Revolver and Grenade in Bustos, Bulacan",30 March 2026,"Barangay Cacarong Bata, Pandi, Bulacan",Barangay Cacarong Bata,Pandi,Bulacan,14.8982974307345,120.966235103495,"Police seized one M84 hand grenade, one Smith & Wesson caliber .38 revolver, and two rounds of ammunition when they arrested five members of a 'basag-kotse' (smash-and-grab) gang in Barangay Cacarong Bata, Pandi, Bulacan on 30 March 2026. The incident occurred following a theft from a parked vehicle committed the previous evening in Purok 4, Barangay San Pedro, Bustos. A witness tracked the suspects to their residence, enabling the police operation. The suspects — aliases 'Ron' (23), 'Ard' (33), 'Ver' (38), 'Mark' (33), and 'RM' (40), all residents of Barangay Cacarong Bata — were arrested after one attempted to flee. Police also recovered stolen goods, including two gold rings, a gold watch, a backpack, and ₱320,000 in cash.","- 1 M84 hand grenade
- 1 Smith & Wesson caliber .38 revolver
- 2 rounds of ammunition","Criminal Organization (Basag-kotse gang: aliases 'Ron,' 'Ard,' 'Ver,' 'Mark,' 'RM')
Police (Bustos Municipal Police Station; Pandi Municipal Police Station; Bulacan Police Provincial Office)",Police,,,1,,,,,,,,,,,,,1,,,,2,,,,,,Crime,,6.02,https://tribune.net.ph/2026/03/30/five-members-of-basag-kotse-gang-arrested-in-bustos-2
6,PHL.26.03.31.001,Seizure,Troops Seize M16 Rifle and IED Following NPA Clash in Albay,31 March 2026,"Barangay Sinungtan, Guinobatan, Albay",Barangay Sinungtan,Guinobatan,Albay,13.1251186627908,123.545391643037,"Troops of the 49th Infantry Battalion seized one M16 assault rifle, one improvised explosive device (IED), and other materials after a clash with NPA fighters in Barangay Sinungtan, Guinobatan, Albay on 31 March 2026. One soldier was lightly wounded in the engagement. The source also reports a second engagement by the same unit on 4 April 2026 in Barangay Maogog, Jovellar, Albay (see PHL.2026.04.04.001).","- 1 M16 assault rifle
- 1 IED
- ~120 rounds of ammunition","NSAG (CPP-NPA)
Military (49th Infantry Battalion; 901st Infantry Brigade, Philippine Army)","Military, NSAG",,,,1,,,,,,,,,,,,,,,1,120,,,,,,Insurgency,,16.2,https://www.facebook.com/fightemtroopers/posts/pfbid0a6Zs8ciJZGi2LhbbGdtLJhNSa2skJjXXvkqu6X5Esb1FQG9nr4rFqkp52NbD1vSEl
6,PHL.26.03.31.002,Surrender/amnesty,Sulu Communities in Tapul and Luuk Surrender M1 Garand Rifles and Handguns,31 March 2026,"Tapul and Luuk, Sulu",,Tapul and Luuk,Sulu,5.96646658035909,121.313692380753,"Civilians in Tapul and Luuk, Sulu surrendered four firearms on 31 March 2026 in support of the campaign for Rido-Free, Gun-Free, and Peace-Centered Communities. In Tapul, barangay officials facilitated the handover of one M1 Garand rifle and one caliber .38 revolver to the 104th Infantry Battalion. In Luuk, local leaders coordinated with the 101st Infantry Battalion and Luuk Municipal Police Station to surrender one M1 Garand rifle and one caliber .45 pistol with ammunition. Military officials noted that since January 2026, a total of 99 assorted firearms had been recovered in Sulu's 2nd District under the campaign.","- 2 M1 Garand rifles
- 1 caliber .38 revolver
- 1 caliber .45 pistol
- 7 rounds of ammunition","Civilian Community (residents of Tapul and Luuk)
Military (104th Infantry 'Para sa Bayan' Battalion [Tapul]; 101st Infantry 'Sajahitra' Battalion [Luuk]; 1102nd Infantry Brigade, 11th Infantry Division/JTF Orion)
Police (Luuk Municipal Police Station)","Civilian, Military, Police",,1,1,,2,,,,,,,,,,,,,,,7,,,,,,Gun ban,,8.07,https://www.facebook.com/permalink.php?story_fbid=pfbid02ND1n4z4FEi4HeKDxwGSokAYFC7eXkQzcBMYJwJTjh6pjz4p6i3McjE5yt3mxbKeTl&id=61557710281207
6,PHL.26.03.31.003,Seizure,Drug Suspects Arrested with Pistol Following Chase and Shootout in Zamboanga Sibugay,31 March 2026,"Boundary of Tungawan, Zamboanga Sibugay and Barangay Licomo, Zamboanga City","Boundary of Tungawan, Zamboanga Sibugay and Barangay Licomo",Zamboanga City,Zamboanga del Sur,7.46778778044076,122.333047770033,"Philippine Drug Enforcement Agency (PDEA) operatives arrested two drug suspects — aliases ""Al,"" 31, of Cavite, and ""Al Ha,"" 32, of Quezon City — and seized approximately 500 grams of suspected shabu (estimated street value ₱3.4 million) along with one caliber .45 pistol during an anti-drug operation on 31 March 2026. The transaction was initially planned in Veterans Village, Ipil, Zamboanga Sibugay; the suspects fled toward Zamboanga City after detecting law enforcement presence, triggering a hot pursuit that culminated in a vehicular crash and brief exchange of gunfire at the Zamboanga Sibugay–Zamboanga City boundary. One suspect sustained injuries in the incident.",- 1 caliber .45 pistol,"Criminal Organization (drug dealers)
Police (PDEA Zamboanga Peninsula; PNP units)
Military (106th Infantry Battalion, Philippine Army)","Military, Police",,1,,,,,,,,,,,,,,,,,,,,,,,,Crime,Drug trafficking,1,https://www.sunstar.com.ph/zamboanga/lawmen-arrest-2-seize-p34-m-shabu
6,PHL.26.04.01.001,Surrender/amnesty,Sulu Communities in Tapul and Panglima Estino Surrender Three Firearms,01 April 2026,"Tapul and Panglima Estino, Sulu",,Tapul and Panglima Estino,Sulu,5.72832064718851,120.908729923181,"Civilians in Tapul and Panglima Estino, Sulu voluntarily surrendered three firearms on 1 April 2026 in coordinated engagements with the 104th and 21st Infantry Battalions. In Tapul, Barangay Chairpersons Nehada T. Daud (Barangay Alu Kabingaan) and Abraham S. Ingoh (Barangay Kaumpang) facilitated the handover of one caliber .45 pistol and one caliber .38 revolver. In Panglima Estino, Barangay Chairperson Rowesman H. Ammar of Barangay Tiptipon surrendered one M1 Garand rifle, in coordination with the Panglima Estino Municipal Police Station. Military officials reported that since 1 January 2026, a total of 95 firearms had been collected across the province under the campaign for Rido-Free, Gun-Free, and Peace-Centered Communities.","- 1 caliber .45 pistol
- 1 caliber .38 revolver
- 1 M1 Garand rifle
- 2 rounds of ammunition","Civilian Community (residents of Barangays Alu Kabingaan and Kaumpang [Tapul]; Tiptipon [Panglima Estino])
Military (104th Infantry 'Para sa Bayan' Battalion [Tapul]; 21st Infantry 'Invincible' Battalion [Panglima Estino]; 1102nd Infantry Brigade, 11th Infantry Division/JTF Orion)
Police (Tapul Municipal Police Station; Panglima Estino Municipal Police Station)
Civilian Official(s) (Barangay Chairpersons Nehada T. Daud, Abraham S. Ingoh [Tapul]; Rowesman H. Ammar [Panglima Estino])","Civilian, Military, Police",,1,1,,1,,,,,,,,,,,,,,,2,,,,,,Gun ban,,5.02,https://www.facebook.com/permalink.php?story_fbid=pfbid0kZZJCHAnGw3c28fDLFTEj4iBAPtZTFFix1iF4LjTXnHgJMYPut4mPqvbJDszU8G3l&id=61557710281207
6,PHL.26.04.01.002,Seizure,Man Arrested with Pistol Over Land Dispute in Bukidnon,01 April 2026,"Purok 1A, Barangay Poblacion, Libona, Bukidnon","Purok 1A, Barangay Poblacion",Libona,Bukidnon,8.3332646404306,124.749459450487,"Police seized one Para-Ordnance caliber .45 pistol and nine rounds of ammunition when they arrested a 61-year-old man who allegedly pointed the weapon at his 43-year-old brother during a heated argument over inherited land in Purok 1A, Barangay Poblacion, Libona, Bukidnon on 1 April 2026. The suspect reportedly shouted at the victim and ordered him to leave their mother's property before drawing the firearm and issuing threats. Charges of grave threats and a violation of RA 10591 (Comprehensive Firearms and Ammunition Regulation Act) are being prepared.","- 1 Para-Ordnance caliber .45 pistol
- 9 rounds of ammunition","Criminal Individual(s) (61-year-old male, illegal firearm possessor/threatener)
Police (Libona Municipal Police Station, Bukidnon)","Criminal Individual, Police",,1,,,,,,,,,,,,,,,,,,9,,,,,,"Crime, Interpersonal dispute",,1.09,https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0xL7wHid6k8XyGDkQia82w6EZkSC6syo8ayn7gBnPh5DEyvMogLjWqC39WxMzHhDDl
6,PHL.26.04.01.003,Seizure,Man Arrested with Pistol at Checkpoint in Cotabato City,01 April 2026,"Intersection of Sinsuat Avenue and Macapagal Street, Barangay Rosary Heights, Cotabato City","Intersection of Sinsuat Avenue and Macapagal Street, Barangay Rosary Heights",Cotabato City,Maguindanao del Norte,7.20616498294728,124.242358395832,"Police seized one caliber .45 pistol (S/N 378214) with one magazine and three rounds of ammunition when they arrested a 20-year-old suspect (alias ""John"") at a joint checkpoint in Mother Barangay Rosary Heights, Cotabato City on 1 April 2026. The suspect, riding a motorcycle without a license plate, allegedly attempted a U-turn upon noticing the checkpoint, prompting officers to flag him down for inspection. He failed to present any permit or authority to carry the firearm and was arrested for violation of RA 10591.","- 1 caliber .45 pistol (S/N 378214)
- 3 rounds of ammunition","Criminal Individual(s) (illegal firearm carrier)
Police (Police Station 2, Cotabato City; Traffic Enforcement Unit; City Mobile Force Company)","Criminal Individual, Police",,1,,,,,,,,,,,,,,,,,,3,,,,,,,,1.03,https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid034PzdDVUnX1nsRtAGphzEK7nUPV4VTTd3bisRJBEtUSp9BfVuzgzoQYcjvwSWLm3Dl
6,PHL.26.04.01.004,UXO,Hand Grenade Discovered in Coconut Farm in Aurora,01 April 2026,"Sitio Camalatan 1, Barangay Nonong, San Luis, Aurora","Sitio Camalatan 1, Barangay Nonong",San Luis,Aurora,15.704889943577,121.495728427476,"A hand grenade was discovered by a resident digging for root crops (gabi) in a coconut farm in Sitio Camalatan 1, Barangay Nonong, San Luis, Aurora on 1 April 2026. The resident alerted a barangay official, who reported the find to the San Luis Municipal Police Station. Police, in coordination with the Aurora Provincial Explosive Ordnance Disposal and Canine Unit, responded, confirmed the device, secured the area, and safely recovered the grenade for proper disposal. The origin of the grenade was not disclosed.",- 1 Mk2 hand grenade,"Unknown/Unaffiliated Entity (resident who discovered the grenade)
Police (San Luis Municipal Police Station; Aurora Provincial EOD and Canine Unit)","Police, Unknown",,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,https://www.facebook.com/permalink.php?story_fbid=pfbid02WQ5gkUGgN3S2Us6952V3GEAWj9y5k8HogDFNRGcMYBVmExDqY1cHiP5RvtqTSeEGl&id=61558704293645
6,PHL.26.04.02.001,Seizure,Two Farmers Arrested with Illegal Firearms at Checkpoint in Maguindanao del Sur,02 April 2026,"Barangay Talisawa, Datu Abdullah Sangki, Maguindanao del Sur",Barangay Talisawa,Datu Abdullah Sangki,Maguindanao del Sur,6.75227631143661,124.491557757645,"Police arrested two individuals — aliases ""Mokalidin"" and ""Mohamidin,"" both farmers and residents of Barangay Mao — after flagging down a motorcycle without license plates and discovering illegal firearms in their possession at a checkpoint in Barangay Talisawa, Datu Abdullah Sangki, Maguindanao del Sur on 2 April 2026. Neither suspect could produce any legal documents or authority to carry the weapons. The seized firearms were to be submitted for ballistic examination at the Regional Forensic Unit. Charges under RA 10591 are being prepared.","- Firearms (type, caliber, and quantity not specified in available sources)","Criminal Individual(s) (illegal firearm carriers)
Police (Datu Abdullah Sangki Municipal Police Station; Maguindanao del Sur Police Provincial Office)","Criminal Individual, Police",,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid0eNG2FPD4euZRSqQMr4NBFnGRyPnvA3fRkS9RQDEg9NSjsAYr9Yy7mnpU8KRbuoCZl
6,PHL.26.04.02.002,Surrender/amnesty,Man Surrenders Homemade Pistol in Zamboanga del Norte,02 April 2026,"Upper Turno, Dipolog City, Zamboanga del Norte",Upper Turno,Dipolog City,Zamboanga del Norte,8.57715036867296,123.356343028455,"A 49-year-old resident of Dapitan City voluntarily surrendered one homemade caliber .45 pistol to the Provincial Highway Patrol Team–Zamboanga del Norte (PHPT-ZDN) in Upper Turno, Dipolog City on 2 April 2026. The individual personally coordinated with authorities prior to the surrender, which was received under the KONTRA BOGA anti-loose firearms program. The firearm was transferred to the Zamboanga del Norte Provincial Forensic Unit for ballistic examination.",- 1 homemade caliber .45 pistol,"Unknown/Unaffiliated Entity (voluntary surrenderee)
Police (PNP-Highway Patrol Group, Provincial Highway Patrol Team–Zamboanga del Norte)","Police, Unknown",,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.5,https://www.facebook.com/TheMindanaoSentinel2/posts/pfbid05J69kcHcDXJW8t7rsqF6qtd7xjRuA8ELLNeKA4tcm6xHJSpjkA2vxGpKYHtbqxKfl
6,PHL.26.04.02.003,Seizure,Police Seize Two Illicit Firearms During Search Warrant in Makati City,02 April 2026,"Barangay Palanan, Makati City",Barangay Palanan,Makati City,Metro Manila,14.560106952744,121.003042995813,"Police seized one caliber .32 revolver, one improvised caliber .22 handgun, and nine rounds of ammunition when they searched the residence of alias ""Rodel,"" 42, in Barangay Palanan, Makati City on 2 April 2026. The search warrant was issued by Executive Judge Gina Bibat Palamos of the Makati City Regional Court. The suspect was detained at the Makati City Police Station custodial facility and faces charges under RA 10591.","- 1 caliber .32 revolver
- 1 improvised caliber .22 handgun
- 9 rounds of ammunition","Criminal Individual(s) (illegal firearm possessor)
Police (Makati City Police Station)","Criminal Individual, Police",,,1,,,,,,,,,,,,,,,,,9,1,,,,,,,1.59,https://www.facebook.com/reel/1187612259964841
6,PHL.26.04.02.004,Seizure,Drug Suspect Arrested with Revolver in Buy-Bust in Bukidnon,02 April 2026,"Purok 4, Barangay Sumpong, Malaybalay City, Bukidnon","Purok 4, Barangay Sumpong",Malaybalay City,Bukidnon,8.16027815306988,125.119923139685,"Police seized one caliber .38 revolver and one round of ammunition, along with approximately 3.074 grams of suspected shabu (estimated value ₱20,903.20) when they arrested a 27-year-old suspect (alias ""Joko"") during a buy-bust operation in Purok 4, Barangay Sumpong, Malaybalay City, Bukidnon on 2 April 2026. Seized drugs and evidence were submitted to the Regional Forensic Unit 10.","- 1 caliber .38 revolver
- 1 round of ammunition","Criminal Individual(s) (drug suspect)
Police (Malaybalay City Police Station CDEU; 1st Bukidnon Provincial Mobile Force Company; Provincial Intelligence Unit; PDEA Region 10)","Criminal Individual, Police",,,1,,,,,,,,,,,,,,,,,1,,,,,,Crime,Drug trafficking,1.01,https://www.facebook.com/122175262208872643/posts/122176686974872643
6,PHL.26.04.02.005,Seizure,Two Grenade Launchers Seized with Smuggled Cigarettes in Maguindanao del Norte,02 April 2026,"Sitio Turugan, Barangay Dinaig Proper, Datu Odin Sinsuat, Maguindanao del Norte","Sitio Turugan, Barangay Dinaig Proper",Datu Odin Sinsuat,Maguindanao del Norte,7.18886863762139,124.191812913506,"Police seized two M79 grenade launchers alongside 1,170 master cases and 39 ream boxes of suspected smuggled cigarettes (estimated value ₱50,090,651.52) in Sitio Turugan, Barangay Dinaig Proper, Datu Odin Sinsuat, Maguindanao del Norte on 2 April 2026. Unidentified suspects fled upon the approach of operating units and abandoned the weapons near a riverbank. The M79 grenade launchers were turned over to the local police for forensic examination, while the cigarettes were transferred to the Bureau of Customs. An investigation is ongoing to identify those responsible.",- 2 M79 grenade launchers,"Criminal Organization (cigarette smugglers)
Police (Datu Odin Sinsuat Municipal Police Station; Criminal Investigation and Detection Group [CIDG]; Regional Mobile Force Battalion; PRO-BARMM)
Other State Agency (Bureau of Customs)",Police,,,,,,,,,,2,,,,,,,,,,,,,,,,Crime,"Illicit goods (cigarettes, fuel, counterfeit)",20,https://www.facebook.com/reel/1685269296249087
6,PHL.26.04.02.006,Illicit manufacture,Police Dismantle Illegal Gun Manufacturing Site in Cebu,02 April 2026,"Purok 3, Barangay Sapangdako, Danao City, Cebu","Purok 3, Barangay Sapangdako",Danao City,Cebu,10.3335174971334,123.874100321032,"Police arrested alias ""Rody,"" 48, and dismantled an illegal gun manufacturing site at his residence in Barangay Sapangdako, Danao City on 2 April 2026. Officers responding to a tip discovered the suspect assembling firearms and confiscated one unfinished caliber .45 lower receiver, two magazines, a metal frame pattern, and a range of tools including a lathe machine, grinder, bench vise, saw, hammer, pliers, L-squares, screwdriver, and welding rods. The suspect failed to produce any documentation and was arrested. PRO-7 Director Brig. Gen. Redrico Maranan noted the operation as part of Oplan Bakal Ng Pagbabago.","- 1 unfinished caliber .45 lower receiver
- 2 magazines
- metalworking tools (lathe machine, grinder, bench vise, saw, hammer, pliers, L-squares, screwdriver, welding rods)","Criminal Individual(s) (suspected illegal gun manufacturer)
Police (Danao City Police Station; Police Regional Office 7)","Criminal Individual, Police",,,,,,,,,,,,,,,,,,,,,1,,,,,Crime,,0.5,https://www.sunstar.com.ph/superbalita-cebu/laing-himoanan-og-armas-sa-danao-gibungkag
6,PHL.26.04.03.001,Surrender/amnesty,"Communities in Tapul and Panamao, Sulu Surrender Five Firearms",03 April 2026,"Tapul and Panamao, Sulu",,Tapul and Panamao,Sulu,5.70646113452722,120.880713899402,"Civilians in Tapul and Panamao, Sulu surrendered five firearms in four separate events between 3 and 6 April 2026. On 3 April, at Tapul Municipal Hall, Barangay Chairpersons Jurmiya J. Daud (Barangay Sayli) and Mohsin L. Alih (Barangay Tangkapaan) facilitated the handover of one M1 Garand rifle and one 9mm pistol to the 104th Infantry Battalion and Tapul Municipal Police Station. On 5 April, also in Tapul, Barangay Chairman Abdel Nasser Anni Daud (Barangay Kalang) surrendered one caliber .45 pistol with two rounds of ammunition. Also on 5 April in Panamao, Barangay Chairman Benhar O. Muddakir (Barangay Lakit) facilitated the handover of one caliber .45 pistol to the 21st Infantry Battalion. On 6 April in Barangay Kamalig, Panamao, Barangay Chairperson Hja. Myrna Badiri surrendered one M1 US Carbine (S/N 932667) to the 21st Infantry Battalion in coordination with the Panamao Municipal Police Station.","- 1 M1 Garand rifle
- 1 9mm pistol
- 1 caliber .45 pistol
- 1 caliber .45 pistol
- 1 M1 Carbine rifle (S/N 932667)
- 3 rounds of ammunition","Civilian Community (residents of Barangays Sayli, Tangkapaan, Kalang [Tapul]; Lakit, Kamalig [Panamao])
Military (104th Infantry 'Para sa Bayan' Battalion [Tapul]; 21st Infantry 'Invincible' Battalion [Panamao]; 1102nd Infantry Brigade, 11th Infantry Division/JTF Orion)
Police (Tapul Municipal Police Station; Panamao Municipal Police Station)
Civilian Official(s) (Barangay Chairpersons Jurmiya J. Daud, Mohsin L. Alih, Abdel Nasser Anni Daud [Tapul]; Benhar O. Muddakir, Hja. Myrna Badiri [Panamao])","Civilian, Military, Police",,3,,,2,,,,,,,,,,,,,,,3,,,,,,,,9.03,https://www.facebook.com/permalink.php?story_fbid=pfbid02dSXKXLDsufYtyMYdnw5xS2Ry4m8na8n7X4KAGPV9X1LRKseCrr5xhZFSxqZdwHAQl&id=61557710281207
6,PHL.26.04.03.002,Seizure,Four Drug Suspects Arrested with Pistols Following Shooting in Bacolod City,03 April 2026,"Purok Gonzaga, Barangay Taculing, Bacolod City","Purok Gonzaga, Barangay Taculing",Bacolod City,Negros Occidental,10.6522915302621,122.957790108668,"Police arrested four drug suspects and seized two caliber .45 pistols (one Ultra Raptor II and one STI pistol) and eight rounds of ammunition along with 60 grams of shabu (estimated market value ₱408,800) during a pursuit operation in Purok Gonzaga, Barangay Taculing, Bacolod City on 3 April 2026. The operation was conducted by Police Station 3 of the Bacolod City Police Office in coordination with the City Intelligence Unit and Police Station 6, following a fatal shooting in Barangay Banago on 2 April. Suspects ""Tony"" and ""Win"" were identified as high-value drug personalities with prior arrests for drug offenses and links to previous shooting incidents in Barangay Banago.","- 1 Ultra Raptor II caliber .45 pistol
- 1 STI caliber .45 pistol
- 8 rounds of ammunition","Criminal Organization (drug trafficking group: aliases 'Tony,' 'Win,' 'No,' 'Jov')
Police (Bacolod City Police Office Stations 3 and 6; City Intelligence Unit; Police Regional Office-Negros Island Region)",Police,,2,,,,,,,,,,,,,,,,,,8,,,,,,Crime,Drug trafficking,2.08,https://www.sunstar.com.ph/bacolod/4-drug-suspects-involved-in-shooting-arrested
